,Classifier,Implementation,Kernel,Average Accuracy,Average Runtime
0,Binary,sklearn,linear,1.0,0.00046000000000000007
1,Binary,custom,linear,0.99318,0.0075
2,Binary,sklearn,sigmoid,0.6818,0.00065
3,Binary,custom,sigmoid,0.9954599999999999,0.00716
4,Binary,sklearn,rbf,1.0,0.0005499999999999999
5,Binary,custom,rbf,0.9954599999999999,0.00935
6,Binary,sklearn,poly,1.0,0.00044
7,Binary,custom,poly,0.9749800000000001,0.00869
8,Multi,sklearn,linear,0.7794,0.0009299999999999999
9,Multi,custom,linear,0.8146800000000001,0.14451
10,Multi,sklearn,sigmoid,0.4706,0.0016799999999999999
11,Multi,custom,sigmoid,0.8249699999999999,0.14322000000000001
12,Multi,sklearn,rbf,0.75,0.00146
13,Multi,custom,rbf,0.8234999999999999,0.17573
14,Multi,sklearn,poly,0.7647000000000002,0.00113
15,Multi,custom,poly,0.8396699999999999,0.33460000000000006
